,index,Goal,Target,Indicator_ref,Series_code,Series_desc,n_countries_available,median_max_year,median_n_years,median_n_timeSeries,n_dimensions,median_values_per_dim,mean_data_for_female,n_countries_total,regionCode,regionName
5,5,'3,'3.8,3.8.2,SH_XPD_EARN10,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income (%),1,2008.0,2.0,1.0,0.0,,,12,543,Oceania (excluding Australia and New Zealand)
6,6,'3,'3.8,3.8.2,SH_XPD_EARN10,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income (%),15,2012.0,2.0,1.0,0.0,,,24,747,Northern Africa and Western Asia
7,7,'3,'3.8,3.8.2,SH_XPD_EARN10,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income (%),14,2014.5,4.0,1.0,0.0,,,16,753,Eastern and South-Eastern Asia
0,0,'3,'3.9,3.9.1,SH_HAP_ASMORT,"Age-standardized mortality rate attributed to household air pollution (deaths per 100,000 population)",159,2016.0,1.0,1.0,0.0,,,194,1,World
0,0,'3,'3.9,3.9.1,SH_HAP_ASMORT,"Age-standardized mortality rate attributed to household air pollution (deaths per 100,000 population)",0,,,,,,,2,53,Australia and New Zealand
1,1,'3,'3.9,3.9.1,SH_HAP_ASMORT,"Age-standardized mortality rate attributed to household air pollution (deaths per 100,000 population)",14,2016.0,1.0,1.0,0.0,,,14,62,Central and Southern Asia
2,2,'3,'3.9,3.9.1,SH_HAP_ASMORT,"Age-standardized mortality rate attributed to household air pollution (deaths per 100,000 population)",48,2016.0,1.0,1.0,0.0,,,48,202,Sub-Saharan Africa
3,3,'3,'3.9,3.9.1,SH_HAP_ASMORT,"Age-standardized mortality rate attributed to household air pollution (deaths per 100,000 population)",32,2016.0,1.0,1.0,0.0,,,33,419,Latin America and the Caribbean
4,4,'3,'3.9,3.9.1,SH_HAP_ASMORT,"Age-standardized mortality rate attributed to household air pollution (deaths per 100,000 population)",21,2016.0,1.0,1.0,0.0,,,45,513,Europe and Northern America
5,5,'3,'3.9,3.9.1,SH_HAP_ASMORT,"Age-standardized mortality rate attributed to household air pollution (deaths per 100,000 population)",12,2016.0,1.0,1.0,0.0,,,12,543,Oceania (excluding Australia and New Zealand)
6,6,'3,'3.9,3.9.1,SH_HAP_ASMORT,"Age-standardized mortality rate attributed to household air pollution (deaths per 100,000 population)",19,2016.0,1.0,1.0,0.0,,,24,747,Northern Africa and Western Asia
7,7,'3,'3.9,3.9.1,SH_HAP_ASMORT,"Age-standardized mortality rate attributed to household air pollution (deaths per 100,000 population)",13,2016.0,1.0,1.0,0.0,,,16,753,Eastern and South-Eastern Asia
0,0,'3,'3.9,3.9.1,SH_STA_AIRP,"Crude death rate attributed to household and ambient air pollution (deaths per 100,000 population)",192,2016.0,1.0,1.0,0.0,,,194,1,World
0,0,'3,'3.9,3.9.1,SH_STA_AIRP,"Crude death rate attributed to household and ambient air pollution (deaths per 100,000 population)",2,2016.0,1.0,1.0,0.0,,,2,53,Australia and New Zealand
1,1,'3,'3.9,3.9.1,SH_STA_AIRP,"Crude death rate attributed to household and ambient air pollution (deaths per 100,000 population)",14,2016.0,1.0,1.0,0.0,,,14,62,Central and Southern Asia
2,2,'3,'3.9,3.9.1,SH_STA_AIRP,"Crude death rate attributed to household and ambient air pollution (deaths per 100,000 population)",48,2016.0,1.0,1.0,0.0,,,48,202,Sub-Saharan Africa
3,3,'3,'3.9,3.9.1,SH_STA_AIRP,"Crude death rate attributed to household and ambient air pollution (deaths per 100,000 population)",33,2016.0,1.0,1.0,0.0,,,33,419,Latin America and the Caribbean
4,4,'3,'3.9,3.9.1,SH_STA_AIRP,"Crude death rate attributed to household and ambient air pollution (deaths per 100,000 population)",44,2016.0,1.0,1.0,0.0,,,45,513,Europe and Northern America
5,5,'3,'3.9,3.9.1,SH_STA_AIRP,"Crude death rate attributed to household and ambient air pollution (deaths per 100,000 population)",12,2016.0,1.0,1.0,0.0,,,12,543,Oceania (excluding Australia and New Zealand)
6,6,'3,'3.9,3.9.1,SH_STA_AIRP,"Crude death rate attributed to household and ambient air pollution (deaths per 100,000 population)",23,2016.0,1.0,1.0,0.0,,,24,747,Northern Africa and Western Asia
7,7,'3,'3.9,3.9.1,SH_STA_AIRP,"Crude death rate attributed to household and ambient air pollution (deaths per 100,000 population)",16,2016.0,1.0,1.0,0.0,,,16,753,Eastern and South-Eastern Asia
0,0,'3,'3.9,3.9.1,SH_STA_ASAIRP,"Age-standardized mortality rate attributed to household and ambient air pollution (deaths per 100,000 population)",192,2016.0,1.0,1.0,0.0,,,194,1,World
0,0,'3,'3.9,3.9.1,SH_STA_ASAIRP,"Age-standardized mortality rate attributed to household and ambient air pollution (deaths per 100,000 population)",2,2016.0,1.0,1.0,0.0,,,2,53,Australia and New Zealand
1,1,'3,'3.9,3.9.1,SH_STA_ASAIRP,"Age-standardized mortality rate attributed to household and ambient air pollution (deaths per 100,000 population)",14,2016.0,1.0,1.0,0.0,,,14,62,Central and Southern Asia
2,2,'3,'3.9,3.9.1,SH_STA_ASAIRP,"Age-standardized mortality rate attributed to household and ambient air pollution (deaths per 100,000 population)",48,2016.0,1.0,1.0,0.0,,,48,202,Sub-Saharan Africa
3,3,'3,'3.9,3.9.1,SH_STA_ASAIRP,"Age-standardized mortality rate attributed to household and ambient air pollution (deaths per 100,000 population)",33,2016.0,1.0,1.0,0.0,,,33,419,Latin America and the Caribbean
4,4,'3,'3.9,3.9.1,SH_STA_ASAIRP,"Age-standardized mortality rate attributed to household and ambient air pollution (deaths per 100,000 population)",44,2016.0,1.0,1.0,0.0,,,45,513,Europe and Northern America
5,5,'3,'3.9,3.9.1,SH_STA_ASAIRP,"Age-standardized mortality rate attributed to household and ambient air pollution (deaths per 100,000 population)",12,2016.0,1.0,1.0,0.0,,,12,543,Oceania (excluding Australia and New Zealand)
6,6,'3,'3.9,3.9.1,SH_STA_ASAIRP,"Age-standardized mortality rate attributed to household and ambient air pollution (deaths per 100,000 population)",23,2016.0,1.0,1.0,0.0,,,24,747,Northern Africa and Western Asia
7,7,'3,'3.9,3.9.1,SH_STA_ASAIRP,"Age-standardized mortality rate attributed to household and ambient air pollution (deaths per 100,000 population)",16,2016.0,1.0,1.0,0.0,,,16,753,Eastern and South-Eastern Asia
0,0,'3,'3.9,3.9.1,SH_AAP_MORT,"Crude death rate attributed to ambient air pollution (deaths per 100,000 population)",192,2016.0,1.0,1.0,0.0,,,194,1,World
0,0,'3,'3.9,3.9.1,SH_AAP_MORT,"Crude death rate attributed to ambient air pollution (deaths per 100,000 population)",2,2016.0,1.0,1.0,0.0,,,2,53,Australia and New Zealand
1,1,'3,'3.9,3.9.1,SH_AAP_MORT,"Crude death rate attributed to ambient air pollution (deaths per 100,000 population)",14,2016.0,1.0,1.0,0.0,,,14,62,Central and Southern Asia
2,2,'3,'3.9,3.9.1,SH_AAP_MORT,"Crude death rate attributed to ambient air pollution (deaths per 100,000 population)",48,2016.0,1.0,1.0,0.0,,,48,202,Sub-Saharan Africa
3,3,'3,'3.9,3.9.1,SH_AAP_MORT,"Crude death rate attributed to ambient air pollution (deaths per 100,000 population)",33,2016.0,1.0,1.0,0.0,,,33,419,Latin America and the Caribbean
4,4,'3,'3.9,3.9.1,SH_AAP_MORT,"Crude death rate attributed to ambient air pollution (deaths per 100,000 population)",44,2016.0,1.0,1.0,0.0,,,45,513,Europe and Northern America
5,5,'3,'3.9,3.9.1,SH_AAP_MORT,"Crude death rate attributed to ambient air pollution (deaths per 100,000 population)",12,2016.0,1.0,1.0,0.0,,,12,543,Oceania (excluding Australia and New Zealand)
6,6,'3,'3.9,3.9.1,SH_AAP_MORT,"Crude death rate attributed to ambient air pollution (deaths per 100,000 population)",23,2016.0,1.0,1.0,0.0,,,24,747,Northern Africa and Western Asia
7,7,'3,'3.9,3.9.1,SH_AAP_MORT,"Crude death rate attributed to ambient air pollution (deaths per 100,000 population)",16,2016.0,1.0,1.0,0.0,,,16,753,Eastern and South-Eastern Asia
0,0,'3,'3.9,3.9.1,SH_AAP_ASMORT,"Age-standardized mortality rate attributed to ambient air pollution (deaths per 100,000 population)",192,2016.0,1.0,1.0,0.0,,,194,1,World
0,0,'3,'3.9,3.9.1,SH_AAP_ASMORT,"Age-standardized mortality rate attributed to ambient air pollution (deaths per 100,000 population)",2,2016.0,1.0,1.0,0.0,,,2,53,Australia and New Zealand
1,1,'3,'3.9,3.9.1,SH_AAP_ASMORT,"Age-standardized mortality rate attributed to ambient air pollution (deaths per 100,000 population)",14,2016.0,1.0,1.0,0.0,,,14,62,Central and Southern Asia
2,2,'3,'3.9,3.9.1,SH_AAP_ASMORT,"Age-standardized mortality rate attributed to ambient air pollution (deaths per 100,000 population)",48,2016.0,1.0,1.0,0.0,,,48,202,Sub-Saharan Africa
3,3,'3,'3.9,3.9.1,SH_AAP_ASMORT,"Age-standardized mortality rate attributed to ambient air pollution (deaths per 100,000 population)",33,2016.0,1.0,1.0,0.0,,,33,419,Latin America and the Caribbean
4,4,'3,'3.9,3.9.1,SH_AAP_ASMORT,"Age-standardized mortality rate attributed to ambient air pollution (deaths per 100,000 population)",44,2016.0,1.0,1.0,0.0,,,45,513,Europe and Northern America
5,5,'3,'3.9,3.9.1,SH_AAP_ASMORT,"Age-standardized mortality rate attributed to ambient air pollution (deaths per 100,000 population)",12,2016.0,1.0,1.0,0.0,,,12,543,Oceania (excluding Australia and New Zealand)
6,6,'3,'3.9,3.9.1,SH_AAP_ASMORT,"Age-standardized mortality rate attributed to ambient air pollution (deaths per 100,000 population)",23,2016.0,1.0,1.0,0.0,,,24,747,Northern Africa and Western Asia
7,7,'3,'3.9,3.9.1,SH_AAP_ASMORT,"Age-standardized mortality rate attributed to ambient air pollution (deaths per 100,000 population)",16,2016.0,1.0,1.0,0.0,,,16,753,Eastern and South-Eastern Asia
0,0,'3,'3.9,3.9.1,SH_HAP_MORT,"Crude death rate attributed to household air pollution (deaths per 100,000 population)",159,2016.0,1.0,1.0,0.0,,,194,1,World
0,0,'3,'3.9,3.9.1,SH_HAP_MORT,"Crude death rate attributed to household air pollution (deaths per 100,000 population)",0,,,,,,,2,53,Australia and New Zealand
1,1,'3,'3.9,3.9.1,SH_HAP_MORT,"Crude death rate attributed to household air pollution (deaths per 100,000 population)",14,2016.0,1.0,1.0,0.0,,,14,62,Central and Southern Asia
2,2,'3,'3.9,3.9.1,SH_HAP_MORT,"Crude death rate attributed to household air pollution (deaths per 100,000 population)",48,2016.0,1.0,1.0,0.0,,,48,202,Sub-Saharan Africa
3,3,'3,'3.9,3.9.1,SH_HAP_MORT,"Crude death rate attributed to household air pollution (deaths per 100,000 population)",32,2016.0,1.0,1.0,0.0,,,33,419,Latin America and the Caribbean
4,4,'3,'3.9,3.9.1,SH_HAP_MORT,"Crude death rate attributed to household air pollution (deaths per 100,000 population)",21,2016.0,1.0,1.0,0.0,,,45,513,Europe and Northern America
5,5,'3,'3.9,3.9.1,SH_HAP_MORT,"Crude death rate attributed to household air pollution (deaths per 100,000 population)",12,2016.0,1.0,1.0,0.0,,,12,543,Oceania (excluding Australia and New Zealand)
6,6,'3,'3.9,3.9.1,SH_HAP_MORT,"Crude death rate attributed to household air pollution (deaths per 100,000 population)",19,2016.0,1.0,1.0,0.0,,,24,747,Northern Africa and Western Asia
7,7,'3,'3.9,3.9.1,SH_HAP_MORT,"Crude death rate attributed to household air pollution (deaths per 100,000 population)",13,2016.0,1.0,1.0,0.0,,,16,753,Eastern and South-Eastern Asia
0,0,'3,'3.9,3.9.2,SH_STA_WASH,"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (deaths per 100,000 population)",183,2016.0,1.0,1.0,0.0,,,194,1,World
0,0,'3,'3.9,3.9.2,SH_STA_WASH,"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (deaths per 100,000 population)",2,2016.0,1.0,1.0,0.0,,,2,53,Australia and New Zealand
1,1,'3,'3.9,3.9.2,SH_STA_WASH,"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (deaths per 100,000 population)",14,2016.0,1.0,1.0,0.0,,,14,62,Central and Southern Asia
2,2,'3,'3.9,3.9.2,SH_STA_WASH,"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (deaths per 100,000 population)",48,2016.0,1.0,1.0,0.0,,,48,202,Sub-Saharan Africa
3,3,'3,'3.9,3.9.2,SH_STA_WASH,"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (deaths per 100,000 population)",31,2016.0,1.0,1.0,0.0,,,33,419,Latin America and the Caribbean
4,4,'3,'3.9,3.9.2,SH_STA_WASH,"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (deaths per 100,000 population)",41,2016.0,1.0,1.0,0.0,,,45,513,Europe and Northern America
5,5,'3,'3.9,3.9.2,SH_STA_WASH,"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (deaths per 100,000 population)",8,2016.0,1.0,1.0,0.0,,,12,543,Oceania (excluding Australia and New Zealand)
6,6,'3,'3.9,3.9.2,SH_STA_WASH,"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (deaths per 100,000 population)",23,2016.0,1.0,1.0,0.0,,,24,747,Northern Africa and Western Asia
7,7,'3,'3.9,3.9.2,SH_STA_WASH,"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (deaths per 100,000 population)",16,2016.0,1.0,1.0,0.0,,,16,753,Eastern and South-Eastern Asia
0,0,'3,'3.9,3.9.3,SH_STA_POISN,"Mortality rate attributed to unintentional poisonings, by sex (deaths per 100,000 population)",183,2016.0,5.0,3.0,1.0,3.0,1.0,194,1,World
0,0,'3,'3.9,3.9.3,SH_STA_POISN,"Mortality rate attributed to unintentional poisonings, by sex (deaths per 100,000 population)",2,2016.0,5.0,3.0,1.0,3.0,1.0,2,53,Australia and New Zealand
1,1,'3,'3.9,3.9.3,SH_STA_POISN,"Mortality rate attributed to unintentional poisonings, by sex (deaths per 100,000 population)",14,2016.0,5.0,3.0,1.0,3.0,1.0,14,62,Central and Southern Asia
2,2,'3,'3.9,3.9.3,SH_STA_POISN,"Mortality rate attributed to unintentional poisonings, by sex (deaths per 100,000 population)",48,2016.0,5.0,3.0,1.0,3.0,1.0,48,202,Sub-Saharan Africa
3,3,'3,'3.9,3.9.3,SH_STA_POISN,"Mortality rate attributed to unintentional poisonings, by sex (deaths per 100,000 population)",31,2016.0,5.0,3.0,1.0,3.0,1.0,33,419,Latin America and the Caribbean
4,4,'3,'3.9,3.9.3,SH_STA_POISN,"Mortality rate attributed to unintentional poisonings, by sex (deaths per 100,000 population)",41,2016.0,5.0,3.0,1.0,3.0,1.0,45,513,Europe and Northern America
5,5,'3,'3.9,3.9.3,SH_STA_POISN,"Mortality rate attributed to unintentional poisonings, by sex (deaths per 100,000 population)",8,2016.0,5.0,3.0,1.0,3.0,1.0,12,543,Oceania (excluding Australia and New Zealand)
6,6,'3,'3.9,3.9.3,SH_STA_POISN,"Mortality rate attributed to unintentional poisonings, by sex (deaths per 100,000 population)",23,2016.0,5.0,3.0,1.0,3.0,1.0,24,747,Northern Africa and Western Asia
7,7,'3,'3.9,3.9.3,SH_STA_POISN,"Mortality rate attributed to unintentional poisonings, by sex (deaths per 100,000 population)",16,2016.0,5.0,3.0,1.0,3.0,1.0,16,753,Eastern and South-Eastern Asia
0,0,'3,'3.a,3.a.1,SH_PRV_SMOK,"Age-standardized prevalence of current tobacco use among persons aged 15 years and older, by sex (%)",157,2018.0,7.0,3.0,2.0,1.7320508075688772,1.0,194,1,World
0,0,'3,'3.a,3.a.1,SH_PRV_SMOK,"Age-standardized prevalence of current tobacco use among persons aged 15 years and older, by sex (%)",2,2018.0,7.0,3.0,2.0,1.7320508075688772,1.0,2,53,Australia and New Zealand
1,1,'3,'3.a,3.a.1,SH_PRV_SMOK,"Age-standardized prevalence of current tobacco use among persons aged 15 years and older, by sex (%)",10,2018.0,7.0,3.0,2.0,1.7320508075688772,1.0,14,62,Central and Southern Asia
2,2,'3,'3.a,3.a.1,SH_PRV_SMOK,"Age-standardized prevalence of current tobacco use among persons aged 15 years and older, by sex (%)",38,2018.0,7.0,3.0,2.0,1.7320508075688772,1.0,48,202,Sub-Saharan Africa
3,3,'3,'3.a,3.a.1,SH_PRV_SMOK,"Age-standardized prevalence of current tobacco use among persons aged 15 years and older, by sex (%)",21,2018.0,7.0,3.0,2.0,1.7320508075688772,1.0,33,419,Latin America and the Caribbean
4,4,'3,'3.a,3.a.1,SH_PRV_SMOK,"Age-standardized prevalence of current tobacco use among persons aged 15 years and older, by sex (%)",41,2018.0,7.0,3.0,2.0,1.7320508075688772,1.0,45,513,Europe and Northern America
5,5,'3,'3.a,3.a.1,SH_PRV_SMOK,"Age-standardized prevalence of current tobacco use among persons aged 15 years and older, by sex (%)",10,2018.0,7.0,3.0,2.0,1.7320508075688772,1.0,12,543,Oceania (excluding Australia and New Zealand)
6,6,'3,'3.a,3.a.1,SH_PRV_SMOK,"Age-standardized prevalence of current tobacco use among persons aged 15 years and older, by sex (%)",19,2018.0,7.0,3.0,2.0,1.7320508075688772,1.0,24,747,Northern Africa and Western Asia
7,7,'3,'3.a,3.a.1,SH_PRV_SMOK,"Age-standardized prevalence of current tobacco use among persons aged 15 years and older, by sex (%)",16,2018.0,7.0,3.0,2.0,1.7320508075688772,1.0,16,753,Eastern and South-Eastern Asia
0,0,'3,'3.b,3.b.1,SH_ACS_DTP3,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) (%),193,2018.0,19.0,1.0,0.0,,,194,1,World
0,0,'3,'3.b,3.b.1,SH_ACS_DTP3,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) (%),2,2018.0,19.0,1.0,0.0,,,2,53,Australia and New Zealand
1,1,'3,'3.b,3.b.1,SH_ACS_DTP3,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) (%),14,2018.0,19.0,1.0,0.0,,,14,62,Central and Southern Asia
2,2,'3,'3.b,3.b.1,SH_ACS_DTP3,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) (%),48,2018.0,19.0,1.0,0.0,,,48,202,Sub-Saharan Africa
3,3,'3,'3.b,3.b.1,SH_ACS_DTP3,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) (%),33,2018.0,19.0,1.0,0.0,,,33,419,Latin America and the Caribbean
4,4,'3,'3.b,3.b.1,SH_ACS_DTP3,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) (%),44,2018.0,19.0,1.0,0.0,,,45,513,Europe and Northern America
5,5,'3,'3.b,3.b.1,SH_ACS_DTP3,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) (%),12,2018.0,19.0,1.0,0.0,,,12,543,Oceania (excluding Australia and New Zealand)
6,6,'3,'3.b,3.b.1,SH_ACS_DTP3,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) (%),24,2018.0,19.0,1.0,0.0,,,24,747,Northern Africa and Western Asia
7,7,'3,'3.b,3.b.1,SH_ACS_DTP3,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) (%),16,2018.0,19.0,1.0,0.0,,,16,753,Eastern and South-Eastern Asia
0,0,'3,'3.b,3.b.1,SH_ACS_MCV2,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2) (%),168,2018.0,16.0,1.0,0.0,,,194,1,World
0,0,'3,'3.b,3.b.1,SH_ACS_MCV2,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2) (%),2,2018.0,11.5,1.0,0.0,,,2,53,Australia and New Zealand
1,1,'3,'3.b,3.b.1,SH_ACS_MCV2,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2) (%),14,2018.0,16.5,1.0,0.0,,,14,62,Central and Southern Asia
2,2,'3,'3.b,3.b.1,SH_ACS_MCV2,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2) (%),26,2018.0,5.0,1.0,0.0,,,48,202,Sub-Saharan Africa
3,3,'3,'3.b,3.b.1,SH_ACS_MCV2,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2) (%),33,2018.0,15.0,1.0,0.0,,,33,419,Latin America and the Caribbean
4,4,'3,'3.b,3.b.1,SH_ACS_MCV2,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2) (%),43,2018.0,19.0,1.0,0.0,,,45,513,Europe and Northern America
5,5,'3,'3.b,3.b.1,SH_ACS_MCV2,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2) (%),10,2018.0,17.5,1.0,0.0,,,12,543,Oceania (excluding Australia and New Zealand)
6,6,'3,'3.b,3.b.1,SH_ACS_MCV2,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2) (%),24,2018.0,18.0,1.0,0.0,,,24,747,Northern Africa and Western Asia
7,7,'3,'3.b,3.b.1,SH_ACS_MCV2,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2) (%),16,2018.0,13.0,1.0,0.0,,,16,753,Eastern and South-Eastern Asia
0,0,'3,'3.b,3.b.1,SH_ACS_PCV3,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3) (%),141,2018.0,7.0,1.0,0.0,,,194,1,World
0,0,'3,'3.b,3.b.1,SH_ACS_PCV3,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3) (%),2,2018.0,10.5,1.0,0.0,,,2,53,Australia and New Zealand
1,1,'3,'3.b,3.b.1,SH_ACS_PCV3,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3) (%),8,2018.0,4.0,1.0,0.0,,,14,62,Central and Southern Asia
2,2,'3,'3.b,3.b.1,SH_ACS_PCV3,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3) (%),40,2018.0,6.0,1.0,0.0,,,48,202,Sub-Saharan Africa
3,3,'3,'3.b,3.b.1,SH_ACS_PCV3,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3) (%),23,2018.0,8.0,1.0,0.0,,,33,419,Latin America and the Caribbean
4,4,'3,'3.b,3.b.1,SH_ACS_PCV3,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3) (%),32,2018.0,8.5,1.0,0.0,,,45,513,Europe and Northern America
5,5,'3,'3.b,3.b.1,SH_ACS_PCV3,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3) (%),7,2018.0,6.0,1.0,0.0,,,12,543,Oceania (excluding Australia and New Zealand)
6,6,'3,'3.b,3.b.1,SH_ACS_PCV3,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3) (%),20,2018.0,7.5,1.0,0.0,,,24,747,Northern Africa and Western Asia
7,7,'3,'3.b,3.b.1,SH_ACS_PCV3,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3) (%),9,2018.0,4.0,1.0,0.0,,,16,753,Eastern and South-Eastern Asia
0,0,'3,'3.b,3.b.1,SH_ACS_HPV,"Proportion of the target population with access to affordable medicines and vaccines on a sustainable basis, human papillomavirus (HPV) (%)",75,2018.0,5.0,1.0,0.0,,,194,1,World
0,0,'3,'3.b,3.b.1,SH_ACS_HPV,"Proportion of the target population with access to affordable medicines and vaccines on a sustainable basis, human papillomavirus (HPV) (%)",2,2018.0,8.0,1.0,0.0,,,2,53,Australia and New Zealand
1,1,'3,'3.b,3.b.1,SH_ACS_HPV,"Proportion of the target population with access to affordable medicines and vaccines on a sustainable basis, human papillomavirus (HPV) (%)",3,2018.0,2.0,1.0,0.0,,,14,62,Central and Southern Asia
2,2,'3,'3.b,3.b.1,SH_ACS_HPV,"Proportion of the target population with access to affordable medicines and vaccines on a sustainable basis, human papillomavirus (HPV) (%)",8,2018.0,3.5,1.0,0.0,,,48,202,Sub-Saharan Africa
3,3,'3,'3.b,3.b.1,SH_ACS_HPV,"Proportion of the target population with access to affordable medicines and vaccines on a sustainable basis, human papillomavirus (HPV) (%)",21,2018.0,4.0,1.0,0.0,,,33,419,Latin America and the Caribbean
4,4,'3,'3.b,3.b.1,SH_ACS_HPV,"Proportion of the target population with access to affordable medicines and vaccines on a sustainable basis, human papillomavirus (HPV) (%)",26,2018.0,7.5,1.0,0.0,,,45,513,Europe and Northern America
5,5,'3,'3.b,3.b.1,SH_ACS_HPV,"Proportion of the target population with access to affordable medicines and vaccines on a sustainable basis, human papillomavirus (HPV) (%)",4,2018.0,5.5,1.0,0.0,,,12,543,Oceania (excluding Australia and New Zealand)
6,6,'3,'3.b,3.b.1,SH_ACS_HPV,"Proportion of the target population with access to affordable medicines and vaccines on a sustainable basis, human papillomavirus (HPV) (%)",4,2018.0,1.5,1.0,0.0,,,24,747,Northern Africa and Western Asia
7,7,'3,'3.b,3.b.1,SH_ACS_HPV,"Proportion of the target population with access to affordable medicines and vaccines on a sustainable basis, human papillomavirus (HPV) (%)",7,2018.0,6.0,1.0,0.0,,,16,753,Eastern and South-Eastern Asia
0,0,'3,'3.b,3.b.2,DC_TOF_HLTHNT,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries (millions of constant 2017 United States dollars)",142,2017.0,8.0,1.0,0.0,,,194,1,World
0,0,'3,'3.b,3.b.2,DC_TOF_HLTHNT,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries (millions of constant 2017 United States dollars)",0,,,,,,,2,53,Australia and New Zealand
1,1,'3,'3.b,3.b.2,DC_TOF_HLTHNT,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries (millions of constant 2017 United States dollars)",14,2017.0,8.0,1.0,0.0,,,14,62,Central and Southern Asia
2,2,'3,'3.b,3.b.2,DC_TOF_HLTHNT,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries (millions of constant 2017 United States dollars)",48,2017.0,8.0,1.0,0.0,,,48,202,Sub-Saharan Africa
3,3,'3,'3.b,3.b.2,DC_TOF_HLTHNT,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries (millions of constant 2017 United States dollars)",31,2017.0,8.0,1.0,0.0,,,33,419,Latin America and the Caribbean
4,4,'3,'3.b,3.b.2,DC_TOF_HLTHNT,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries (millions of constant 2017 United States dollars)",9,2017.0,8.0,1.0,0.0,,,45,513,Europe and Northern America
5,5,'3,'3.b,3.b.2,DC_TOF_HLTHNT,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries (millions of constant 2017 United States dollars)",12,2017.0,8.0,1.0,0.0,,,12,543,Oceania (excluding Australia and New Zealand)
6,6,'3,'3.b,3.b.2,DC_TOF_HLTHNT,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries (millions of constant 2017 United States dollars)",16,2017.0,8.0,1.0,0.0,,,24,747,Northern Africa and Western Asia
7,7,'3,'3.b,3.b.2,DC_TOF_HLTHNT,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries (millions of constant 2017 United States dollars)",12,2017.0,8.0,1.0,0.0,,,16,753,Eastern and South-Eastern Asia
0,0,'3,'3.b,3.b.2,DC_TOF_HLTHL,"Total official development assistance to medical research and basic heath sectors, gross disbursement, by recipient countries (millions of constant 2017 United States dollars)",146,2017.0,18.0,1.0,0.0,,,194,1,World
0,0,'3,'3.b,3.b.2,DC_TOF_HLTHL,"Total official development assistance to medical research and basic heath sectors, gross disbursement, by recipient countries (millions of constant 2017 United States dollars)",0,,,,,,,2,53,Australia and New Zealand
1,1,'3,'3.b,3.b.2,DC_TOF_HLTHL,"Total official development assistance to medical research and basic heath sectors, gross disbursement, by recipient countries (millions of constant 2017 United States dollars)",14,2017.0,18.0,1.0,0.0,,,14,62,Central and Southern Asia
