series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	sex_code	sex_desc	years	min_year	max_year	n_years	unitsCode	unitsDesc	reportingTypeCode	reportingTypeDesc	value_2000	value_2001	value_2002	value_2003	value_2004	value_2005	value_2006	value_2007	value_2008	value_2009	value_2010	value_2011	value_2012	value_2013	value_2014	value_2015	value_2016	value_2017	value_2018	value_2019	value_2020	latest_value	basePeriod	valueDetails	footnotes	sources	timeDetails	nature
SG_GEN_PARL	Proportion of seats held by women in national parliaments (% of total number of seats)	24	Angola	5	17	Middle Africa	Country	17.57817062	-12.33724746	AGO	1	1	F	Female	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]	2000	2020	21	PT	Percentage	G	Global	15.45	15.45	15.45	15.45	15.45	15.0	15.0	15.0	15.0	37.27	38.64	38.64	38.18	34.09	36.82	36.82	36.82	38.18	30.45	30.0	30.0	30.0			[2000-2019]: Annual data as of 1 Feb of given year. // [2020]: Data are as at 1 January of reporting year | single or lower chambers of national parliaments.	[2000-2019]: Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data. // [2020]: Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed January 1 of given year for annual data.		C: Country data
SG_GEN_PARL	Proportion of seats held by women in national parliaments (% of total number of seats)	242	Fiji	4	54	Melanesia	Country	177.9660884	-17.83301566	FJI	1	1	F	Female	[2000, 2002, 2003, 2004, 2005, 2006, 2015, 2016, 2017, 2018, 2019, 2020]	2000	2020	12	PT	Percentage	G	Global	11.27		5.71	5.71	5.71	8.45	8.45									14.0	16.0	16.0	16.0	19.61	19.61	19.61			[2000,2002-2006,2015-2019]: Annual data as of 1 Feb of given year. // [2020]: Data are as at 1 January of reporting year | single or lower chambers of national parliaments.	[2000,2002-2006,2015-2019]: Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data. // [2020]: Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed January 1 of given year for annual data.		C: Country data
SG_GEN_PARL	Proportion of seats held by women in national parliaments (% of total number of seats)	246	Finland	4	154	Northern Europe	Country	23.308447	61.91586738	FIN	1	1	F	Female	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]	2000	2020	21	PT	Percentage	G	Global	37.0	36.5	36.5	36.5	37.5	37.5	37.5	38.0	41.5	41.5	40.0	40.0	42.5	42.5	42.5	42.5	41.5	42.0	42.0	41.5	46.0	46.0			[2000-2019]: Annual data as of 1 Feb of given year. // [2020]: Data are as at 1 January of reporting year | single or lower chambers of national parliaments.	[2000-2019]: Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data. // [2020]: Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed January 1 of given year for annual data.		C: Country data
SG_GEN_PARL	Proportion of seats held by women in national parliaments (% of total number of seats)	250	France	4	155	Western Europe	Country	2.457288129	46.62660861	FRA	1	1	F	Female	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]	2000	2020	21	PT	Percentage	G	Global	10.92	10.92	10.92	12.2	12.2	12.2	12.2	12.2	18.2	18.2	18.89	18.89	18.89	26.86	26.17	26.17	26.17	25.82	38.99	39.69	39.51	39.51			[2000-2019]: Annual data as of 1 Feb of given year. // [2020]: Data are as at 1 January of reporting year | single or lower chambers of national parliaments.	[2000-2019]: Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data. // [2020]: Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed January 1 of given year for annual data.		C: Country data
SG_GEN_PARL	Proportion of seats held by women in national parliaments (% of total number of seats)	262	Djibouti	5	14	Eastern Africa	Country	42.18274707	11.56004161	DJI	1	1	F	Female	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]	2000	2020	21	PT	Percentage	G	Global	0.0	0.0	0.0	10.77	10.77	10.77	10.77	10.77	13.85	13.85	13.85	13.85	13.85	13.85	12.73	12.73	12.73	10.77	10.77	26.15	26.15	26.15			[2000-2019]: Annual data as of 1 Feb of given year. // [2020]: Data are as at 1 January of reporting year | single or lower chambers of national parliaments.	[2000-2019]: Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data. // [2020]: Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed January 1 of given year for annual data.		C: Country data
SG_GEN_PARL	Proportion of seats held by women in national parliaments (% of total number of seats)	266	Gabon	5	17	Middle Africa	Country	11.78727747	-0.60687619	GAB	1	1	F	Female	[2000, 2001, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]	2000	2020	20	PT	Percentage	G	Global	8.33	9.17		9.24	9.24	9.24	9.24	12.5	16.67	16.67	14.66	14.66	15.79	15.79	15.0	14.17	14.17	17.09	17.09	17.91	14.79	14.79			[2000-2001,2003-2019]: Annual data as of 1 Feb of given year. // [2020]: Data are as at 1 January of reporting year | single or lower chambers of national parliaments.	[2000-2001,2003-2019]: Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data. // [2020]: Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed January 1 of given year for annual data.		C: Country data
SG_GEN_PARL	Proportion of seats held by women in national parliaments (% of total number of seats)	268	Georgia	4	145	Western Asia	Country	43.3713615	42.04813028	GEO	1	1	F	Female	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]	2000	2020	21	PT	Percentage	G	Global	7.23	7.23	7.23	7.23	7.23	9.36	9.36	9.36	9.36	6.0	5.11	6.52	6.57	12.0	12.0	11.33	11.33	16.0	16.0	14.77	14.09	14.09			[2000-2019]: Annual data as of 1 Feb of given year. // [2020]: Data are as at 1 January of reporting year | single or lower chambers of national parliaments.	[2000-2019]: Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data. // [2020]: Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed January 1 of given year for annual data.		C: Country data
SG_GEN_PARL	Proportion of seats held by women in national parliaments (% of total number of seats)	270	Gambia	5	11	Western Africa	Country	-15.39944785	13.45295927	GMB	1	1	F	Female	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]	2000	2020	21	PT	Percentage	G	Global	2.04	2.04	13.21	13.21	13.21	13.21	13.21	9.43	9.43	9.43	7.55	7.55	7.55	7.55	9.43	9.43	9.43	9.43	10.34	10.34	8.62	8.62			[2000-2019]: Annual data as of 1 Feb of given year. // [2020]: Data are as at 1 January of reporting year | single or lower chambers of national parliaments.	[2000-2019]: Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data. // [2020]: Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed January 1 of given year for annual data.		C: Country data
SG_GEN_PARL	Proportion of seats held by women in national parliaments (% of total number of seats)	276	Germany	4	155	Western Europe	Country	10.3806066	51.08862743	DEU	1	1	F	Female	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]	2000	2020	21	PT	Percentage	G	Global	30.94	30.94	31.68	32.17	32.17	32.78	31.76	31.6	31.65	32.19	32.8	32.8	32.9	32.9	36.45	36.45	36.45	36.98	30.75	30.89	31.17	31.17			[2000-2019]: Annual data as of 1 Feb of given year. // [2020]: Data are as at 1 January of reporting year | single or lower chambers of national parliaments.	[2000-2019]: Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data. // [2020]: Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed January 1 of given year for annual data.		C: Country data
SG_GEN_PARL	Proportion of seats held by women in national parliaments (% of total number of seats)	28	Antigua and Barbuda	5	29	Caribbean	Country	-61.7999755	17.07761471	ATG	1	1	F	Female	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]	2000	2020	21	PT	Percentage	G	Global	5.26	5.26	5.26	5.26	5.26	10.53	10.53	10.53	10.53	10.53	10.53	10.53	10.53	10.53	10.53	11.11	11.11	11.11	11.11	11.11	11.11	11.11			[2000-2019]: Annual data as of 1 Feb of given year. // [2020]: Data are as at 1 January of reporting year | single or lower chambers of national parliaments.	[2000-2019]: Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data. // [2020]: Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed January 1 of given year for annual data.		C: Country data
SG_GEN_PARL	Proportion of seats held by women in national parliaments (% of total number of seats)	288	Ghana	5	11	Western Africa	Country	-1.205623522	7.964825185	GHA	1	1	F	Female	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]	2000	2020	21	PT	Percentage	G	Global	9.0	9.0	9.0	9.0	9.0	10.87	10.87	10.87	10.87	7.89	8.26	8.26	8.26	10.26	10.91	10.91	10.91	12.73	12.73	13.09	13.09	13.09			[2000-2019]: Annual data as of 1 Feb of given year. // [2020]: Data are as at 1 January of reporting year | single or lower chambers of national parliaments.	[2000-2019]: Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data. // [2020]: Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed January 1 of given year for annual data.		C: Country data
SG_GEN_PARL	Proportion of seats held by women in national parliaments (% of total number of seats)	29	Caribbean	4	419	Latin America and the Caribbean	Region						F	Female	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]	2000	2020	21	PT	Percentage	G	Global	20.59	20.77	21.11	26.0	26.04	25.98	25.71	25.53	29.53	29.42	29.41	31.32	30.21	30.28	32.85	33.11	33.02	33.8	33.74	36.09	36.68	36.68			[2000-2019]: Annual data as of 1 Feb of given year. // [2020]: Data are as at 1 January of reporting year | single or lower chambers of national parliaments.	[2000-2019]: Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data. // [2020]: Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed January 1 of given year for annual data.		C: Country data
SG_GEN_PARL	Proportion of seats held by women in national parliaments (% of total number of seats)	296	Kiribati	4	57	Micronesia	Country	-157.5643005	1.768837732	KIR	1	1	F	Female	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]	2000	2020	21	PT	Percentage	G	Global	4.88	4.88	4.76	4.76	4.76	4.76	4.76	7.14	4.35	4.35	4.35	4.35	8.7	8.7	8.7	8.7	6.52	6.52	6.52	6.52	6.52	6.52			[2000-2019]: Annual data as of 1 Feb of given year. // [2020]: Data are as at 1 January of reporting year | single or lower chambers of national parliaments.	[2000-2019]: Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data. // [2020]: Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed January 1 of given year for annual data.		C: Country data
SG_GEN_PARL	Proportion of seats held by women in national parliaments (% of total number of seats)	30	Eastern Asia	3	142	Asia	Region						F	Female	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]	2000	2020	21	PT	Percentage	G	Global	18.23	18.82	18.82	18.82	17.34	18.12	18.36	18.4	18.69	19.09	18.66	18.66	18.61	18.54	19.94	20.38	20.37	20.48	20.93	21.45	21.64	21.64			[2000-2019]: Annual data as of 1 Feb of given year. // [2020]: Data are as at 1 January of reporting year | single or lower chambers of national parliaments.	[2000-2019]: Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data. // [2020]: Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed January 1 of given year for annual data.		C: Country data
SG_GEN_PARL	Proportion of seats held by women in national parliaments (% of total number of seats)	300	Greece	4	39	Southern Europe	Country	22.58307827	39.47301873	GRC	1	1	F	Female	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]	2000	2020	21	PT	Percentage	G	Global	6.33	8.67	8.67	8.67	8.67	14.0	13.0	13.0	14.67	14.67	17.33	17.33	18.67	21.0	21.0	23.0	19.67	18.33	18.33	18.67	20.67	20.67			[2000-2019]: Annual data as of 1 Feb of given year. // [2020]: Data are as at 1 January of reporting year | single or lower chambers of national parliaments.	[2000-2019]: Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data. // [2020]: Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed January 1 of given year for annual data.		C: Country data
SG_GEN_PARL	Proportion of seats held by women in national parliaments (% of total number of seats)	308	Grenada	5	29	Caribbean	Country	-61.68248568	12.11238395	GRD	1	1	F	Female	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]	2000	2020	21	PT	Percentage	G	Global	26.67	26.67	26.67	26.67	26.67	26.67	26.67	26.67	26.67	13.33	13.33	13.33	13.33	13.33	33.33	33.33	33.33	33.33	33.33	46.67	46.67	46.67			[2000-2019]: Annual data as of 1 Feb of given year. // [2020]: Data are as at 1 January of reporting year | single or lower chambers of national parliaments.	[2000-2019]: Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data. // [2020]: Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed January 1 of given year for annual data.		C: Country data
SG_GEN_PARL	Proportion of seats held by women in national parliaments (% of total number of seats)	31	Azerbaijan	4	145	Western Asia	Country	50.01064725	40.39229544	AZE	1	1	F	Female	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]	2000	2020	21	PT	Percentage	G	Global	10.4	10.4	10.48	10.48	10.48	10.48	12.0	11.29	11.38	11.38	11.38	16.0	16.0	16.0	15.57	15.57	16.94	16.8	16.8	16.81	16.81	16.81			[2000-2019]: Annual data as of 1 Feb of given year. // [2020]: Data are as at 1 January of reporting year | single or lower chambers of national parliaments.	[2000-2019]: Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data. // [2020]: Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed January 1 of given year for annual data.		C: Country data
SG_GEN_PARL	Proportion of seats held by women in national parliaments (% of total number of seats)	32	Argentina	5	5	South America	Country	-65.14563274	-35.19446255	ARG	1	1	F	Female	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]	2000	2020	21	PT	Percentage	G	Global	28.02	26.46	30.74	30.74	30.74	33.73	36.19	35.02	40.0	40.0	38.52	38.52	37.35	37.35	36.58	36.19	35.8	38.91	38.91	38.82	40.86	40.86			[2000-2019]: Annual data as of 1 Feb of given year. // [2020]: Data are as at 1 January of reporting year | single or lower chambers of national parliaments.	[2000-2019]: Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data. // [2020]: Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed January 1 of given year for annual data.		C: Country data
SG_GEN_PARL	Proportion of seats held by women in national parliaments (% of total number of seats)	320	Guatemala	5	13	Central America	Country	-91.2312746	15.00273719	GTM	1	1	F	Female	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]	2000	2020	21	PT	Percentage	G	Global	7.08	8.85	8.85	8.85	8.23	8.23	8.23	8.23	12.03	12.03	12.03	12.03	13.29	13.29	13.29	13.29	13.92	12.66	12.66	18.99	18.99	18.99			[2000-2019]: Annual data as of 1 Feb of given year. // [2020]: Data are as at 1 January of reporting year | single or lower chambers of national parliaments.	[2000-2019]: Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data. // [2020]: Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed January 1 of given year for annual data.		C: Country data
SG_GEN_PARL	Proportion of seats held by women in national parliaments (% of total number of seats)	324	Guinea	5	11	Western Africa	Country	-11.28173419	11.00210343	GIN	1	1	F	Female	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2014, 2015, 2016, 2017, 2018, 2019, 2020]	2000	2020	16	PT	Percentage	G	Global	8.77	8.77	8.77	19.3	19.3	19.3	19.3	19.3	19.3						21.93	21.93	21.93	21.93	21.93	22.81	22.81	22.81			[2000-2008,2014-2019]: Annual data as of 1 Feb of given year. // [2020]: Data are as at 1 January of reporting year | single or lower chambers of national parliaments.	[2000-2008,2014-2019]: Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data. // [2020]: Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed January 1 of given year for annual data.		C: Country data
SG_GEN_PARL	Proportion of seats held by women in national parliaments (% of total number of seats)	328	Guyana	5	5	South America	Country	-58.97322037	4.788012784	GUY	1	1	F	Female	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]	2000	2020	21	PT	Percentage	G	Global	18.46	18.46	20.0	20.0	20.0	30.77	30.77	28.99	28.99	30.0	30.0	30.0	31.34	31.34	31.34	31.34	30.43	31.88	31.88	31.88	34.78	34.78			[2000-2019]: Annual data as of 1 Feb of given year. // [2020]: Data are as at 1 January of reporting year | single or lower chambers of national parliaments.	[2000-2019]: Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data. // [2020]: Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed January 1 of given year for annual data.		C: Country data
SG_GEN_PARL	Proportion of seats held by women in national parliaments (% of total number of seats)	332	Haiti	5	29	Caribbean	Country	-72.33640958	18.40426539	HTI	1	1	F	Female	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]	2000	2020	21	PT	Percentage	G	Global	3.61	3.61	3.61	3.61	3.61	3.61	3.61	4.08	4.08	4.08	4.08	11.11	4.21	4.21	4.21	4.21	0.0	2.56	2.54	2.54	2.54	2.54			[2000-2019]: Annual data as of 1 Feb of given year. // [2020]: Data are as at 1 January of reporting year | single or lower chambers of national parliaments. | The term of all members in the 119-member Chamber of Deputies and 20 of 30 senators expired on 13 January 2020. There are currently only 10 sitting senators.	[2000-2019]: Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data. // [2020]: Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed January 1 of given year for annual data.		C: Country data
SG_GEN_PARL	Proportion of seats held by women in national parliaments (% of total number of seats)	34	Southern Asia	3	142	Asia	Region						F	Female	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]	2000	2020	21	PT	Percentage	G	Global	6.84	5.8	5.74	8.79	8.79	8.79	12.75	12.66	12.91	16.74	18.2	18.2	18.46	18.5	16.0	17.64	17.67	17.96	13.92	15.79	17.34	17.34			[2000-2019]: Annual data as of 1 Feb of given year. // [2020]: Data are as at 1 January of reporting year | single or lower chambers of national parliaments.	[2000-2019]: Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data. // [2020]: Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed January 1 of given year for annual data.		C: Country data
SG_GEN_PARL	Proportion of seats held by women in national parliaments (% of total number of seats)	340	Honduras	5	13	Central America	Country	-86.59974381	14.82243161	HND	1	1	F	Female	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]	2000	2020	21	PT	Percentage	G	Global	9.38	9.38	9.38	5.47	5.47	5.47	23.44	23.44	23.44	23.44	17.97	17.97	19.53	19.53	25.78	25.78	25.78	25.78	21.09	21.09	21.09	21.09			[2000-2019]: Annual data as of 1 Feb of given year. // [2020]: Data are as at 1 January of reporting year | single or lower chambers of national parliaments.	[2000-2019]: Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data. // [2020]: Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed January 1 of given year for annual data.		C: Country data
SG_GEN_PARL	Proportion of seats held by women in national parliaments (% of total number of seats)	348	Hungary	4	151	Eastern Europe	Country	19.41221519	47.1651448	HUN	1	1	F	Female	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]	2000	2020	21	PT	Percentage	G	Global	8.29	8.29	8.29	9.84	9.84	9.09	9.09	10.36	11.14	11.14	11.14	9.07	8.81	8.81	9.38	10.1	10.1	10.05	10.05	12.56	12.06	12.06			[2000-2019]: Annual data as of 1 Feb of given year. // [2020]: Data are as at 1 January of reporting year | single or lower chambers of national parliaments.	[2000-2019]: Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data. // [2020]: Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed January 1 of given year for annual data.		C: Country data
SG_GEN_PARL	Proportion of seats held by women in national parliaments (% of total number of seats)	35	South-Eastern Asia	3	142	Asia	Region						F	Female	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]	2000	2020	21	PT	Percentage	G	Global	12.34	13.03	13.92	15.03	15.32	15.53	15.85	16.68	17.39	17.26	19.28	17.63	17.56	18.04	18.44	17.84	18.3	19.35	19.15	19.61	20.44	20.44			[2000-2019]: Annual data as of 1 Feb of given year. // [2020]: Data are as at 1 January of reporting year | single or lower chambers of national parliaments.	[2000-2019]: Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data. // [2020]: Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed January 1 of given year for annual data.		C: Country data
SG_GEN_PARL	Proportion of seats held by women in national parliaments (% of total number of seats)	352	Iceland	4	154	Northern Europe	Country	-19.02116966	64.79134763	ISL	1	1	F	Female	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]	2000	2020	21	PT	Percentage	G	Global	34.92	34.92	34.92	34.92	30.16	30.16	33.33	33.33	33.33	33.33	42.86	42.86	39.68	39.68	39.68	41.27	41.27	47.62	38.1	38.1	38.1	38.1			[2000-2019]: Annual data as of 1 Feb of given year. // [2020]: Data are as at 1 January of reporting year | single or lower chambers of national parliaments.	[2000-2019]: Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data. // [2020]: Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed January 1 of given year for annual data.		C: Country data
SG_GEN_PARL	Proportion of seats held by women in national parliaments (% of total number of seats)	356	India	4	34	Southern Asia	Country	79.3608464	22.34642074	IND	1	1	F	Female	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]	2000	2020	21	PT	Percentage	G	Global	9.02	9.01	8.84	8.84	8.84	8.29	8.26	8.26	9.06	9.06	10.83	10.83	11.01	11.01	11.38	11.97	11.97	11.81	11.81	12.6	14.36	14.36			[2000-2019]: Annual data as of 1 Feb of given year. // [2020]: Data are as at 1 January of reporting year | single or lower chambers of national parliaments.	[2000-2019]: Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data. // [2020]: Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed January 1 of given year for annual data.		C: Country data
SG_GEN_PARL	Proportion of seats held by women in national parliaments (% of total number of seats)	36	Australia	4	53	Australia and New Zealand	Country	134.3499412	-25.57717202	AUS	1	1	F	Female	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]	2000	2020	21	PT	Percentage	G	Global	22.45	22.97	25.33	25.33	25.33	24.67	24.67	24.67	26.67	26.67	27.33	24.67	24.67	24.67	26.0	26.67	26.67	28.67	28.67	30.0	30.46	30.46			[2000-2019]: Annual data as of 1 Feb of given year. // [2020]: Data are as at 1 January of reporting year | single or lower chambers of national parliaments.	[2000-2019]: Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data. // [2020]: Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed January 1 of given year for annual data.		C: Country data
SG_GEN_PARL	Proportion of seats held by women in national parliaments (% of total number of seats)	360	Indonesia	4	35	South-Eastern Asia	Country	113.9174	-0.994582204	IDN	1	1	F	Female	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]	2000	2020	21	PT	Percentage	G	Global	8.0	8.0	8.0	8.0	8.0	11.27	11.27	11.27	11.64	11.64	18.04	18.04	18.21	18.57	18.57	17.12	17.12	19.82	19.82	18.21	20.35	20.35			[2000-2019]: Annual data as of 1 Feb of given year. // [2020]: Data are as at 1 January of reporting year | single or lower chambers of national parliaments.	[2000-2019]: Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data. // [2020]: Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed January 1 of given year for annual data.		C: Country data
SG_GEN_PARL	Proportion of seats held by women in national parliaments (% of total number of seats)	364	Iran (Islamic Republic of)	4	34	Southern Asia	Country	54.19766348	32.74370885	IRN	1	1	F	Female	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]	2000	2020	21	PT	Percentage	G	Global	4.89	3.45	3.45	4.14	4.14	4.14	4.14	4.14	4.14	2.8	2.76	2.76	2.76	3.1	3.1	3.1	3.1	5.88	5.88	5.88	5.88	5.88			[2000-2019]: Annual data as of 1 Feb of given year. // [2020]: Data are as at 1 January of reporting year | single or lower chambers of national parliaments.	[2000-2019]: Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data. // [2020]: Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed January 1 of given year for annual data.		C: Country data
